period,unit,break_date,meeting_index,share_before,share_after,direction,nearest_event,event_date,days_to_event,within_1_meeting,responsible_sentence
T3,will/occurrence,2015-12-16,47,0.0,0.122,up,First hike (liftoff),2015-12-16,0,True,"The Committee judges that there has been considerable improvement in labor market conditions this year, and it is reasonably confident that inflation will rise, over the medium term, to its 2 percent objective."
T3,will/occurrence,2018-06-13,67,0.18,0.0,down,Powell chair,2018-02-05,128,False,"The Committee expects that economic conditions will evolve in a manner that will warrant gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail in th"
T3,will/copular_adj,2018-06-13,67,0.0,0.292,up,Powell chair,2018-02-05,128,False,"The Committee expects that further gradual increases in the target range for the federal funds rate will be consistent with sustained expansion of economic activity, strong labor market conditions, and inflation near the Committee's symmetr"
T3,will/copular_adj,2019-06-19,75,0.292,0.0,down,Mid-cycle cut,2019-07-31,42,True,"The Committee expects that further gradual increases in the target range for the federal funds rate will be consistent with sustained expansion of economic activity, strong labor market conditions, and inflation near the Committee's symmetr"
T3,will/copular_adj,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee decided to keep the target range for the federal funds rate at 0 to 1/4 percent and expects it will be appropriate to maintain this target range until labor market conditions have reached levels consistent with the Committee's
T3,will/copular_adj,2023-03-22,107,0.166,0.018,down,Last hike,2023-07-26,126,False,"In support of these goals, the Committee decided to raise the target range for the federal funds rate to 1/4 to 1/2 percent and anticipates that ongoing increases in the target range will be appropriate."
T3,could/causative,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.
T3,would/copular_adj,2020-09-16,87,0.0,0.116,up,New framework,2020-08-27,20,True,The Committee would be prepared to adjust the stance of monetary policy as appropriate if risks emerge that could impede the attainment of the Committee's goals.
T3,will/causative,2015-12-16,47,0.0,0.165,up,First hike (liftoff),2015-12-16,0,True,"The Committee expects that economic conditions will evolve in a manner that will warrant only gradual increases in the federal funds rate; the federal funds rate is likely to remain, for some time, below levels that are expected to prevail "
T3,will/causative,2018-06-13,67,0.195,0.0,down,Powell chair,2018-02-05,128,False,"The Committee continues to expect that, with gradual adjustments in the stance of monetary policy, economic activity will expand at a moderate pace, and labor market conditions will strengthen somewhat further."
T3,will/other,2010-08-10,4,0.47,0.151,down,QE3 ends,2014-10-29,1541,False,"In order to promote a smooth transition in markets, the Committee is gradually slowing the pace of these purchases, and it anticipates that these transactions will be executed by the end of the first quarter."
T3,will/other,2012-01-25,16,0.171,0.0,down,QE3 ends,2014-10-29,1008,False,"The Committee will continue to monitor the economic outlook and financial developments and will employ its policy tools as necessary to support the economic recovery and to help ensure that inflation, over time, is at levels consistent with"
T3,should/activity,2012-06-20,19,0.016,0.071,up,QE3 ends,2014-10-29,861,False,This continuation of the maturity extension program should put downward pressure on longer-term interest rates and help to make broader financial conditions more accommodative.
T3,should/activity,2012-12-12,23,0.071,0.0,down,QE3 ends,2014-10-29,686,False,This continuation of the maturity extension program should put downward pressure on longer-term interest rates and help to make broader financial conditions more accommodative.
T3,should/activity,2014-10-29,38,0.0,0.125,up,QE3 ends,2014-10-29,0,True,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions."
T3,should/activity,2017-06-14,59,0.107,0.0,down,Normalization addendum,2017-06-14,0,True,"This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions."
T3,may/causative,2014-03-19,33,0.0,0.089,up,QE3 ends,2014-10-29,224,False,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as norm"
T3,may/causative,2014-10-29,38,0.04,0.139,up,QE3 ends,2014-10-29,0,True,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as norm"
T3,may/causative,2015-12-16,47,0.138,0.0,down,First hike (liftoff),2015-12-16,0,True,"The Committee currently anticipates that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as norm"
