layer,modal,unit,n,share,rank,modal_n
min_directive_quote,could,could/causative,18,1.0,1,18
min_directive_quote,will,will/aspectual,25,0.5208,1,48
min_directive_quote,will,will/causative,15,0.3125,2,48
min_directive_quote,will,will/other,2,0.0417,3,48
min_directive_quote,will,will/policy_action,2,0.0417,4,48
min_directive_quote,will,will/occurrence,2,0.0417,5,48
min_directive_quote,will,will/existence,1,0.0208,6,48
min_directive_quote,will,will/activity,1,0.0208,7,48
min_front_matter,can,can/other,2,0.5,1,4
min_front_matter,can,can/activity,1,0.25,2,4
min_front_matter,can,can/copular_adj,1,0.25,3,4
min_front_matter,could,could/activity,2,0.2857,1,7
min_front_matter,could,could/occurrence,2,0.2857,2,7
min_front_matter,could,could/existence,1,0.1429,3,7
min_front_matter,could,could/other,1,0.1429,4,7
min_front_matter,could,could/copular_adj,1,0.1429,5,7
min_front_matter,may,may/activity,1,0.5,1,2
min_front_matter,may,may/other,1,0.5,2,2
min_front_matter,should,should/other,3,0.375,1,8
min_front_matter,should,should/copular_nom,2,0.25,2,8
min_front_matter,should,should/mental,1,0.125,3,8
min_front_matter,should,should/activity,1,0.125,4,8
min_front_matter,should,should/communication,1,0.125,5,8
min_front_matter,will,will/other,7,0.4118,1,17
min_front_matter,will,will/activity,4,0.2353,2,17
min_front_matter,will,will/copular_adj,2,0.1176,3,17
min_front_matter,will,will/existence,1,0.0588,4,17
min_front_matter,will,will/policy_action,1,0.0588,5,17
min_front_matter,will,will/occurrence,1,0.0588,6,17
min_front_matter,will,will/causative,1,0.0588,7,17
min_front_matter,would,would/copular_adj,9,0.225,1,40
min_front_matter,would,would/other,8,0.2,2,40
min_front_matter,would,would/policy_action,5,0.125,3,40
min_front_matter,would,would/aspectual,4,0.1,4,40
min_front_matter,would,would/occurrence,4,0.1,5,40
min_front_matter,would,would/activity,2,0.05,6,40
min_front_matter,would,would/causative,2,0.05,7,40
min_front_matter,would,would/existence,2,0.05,8,40
min_front_matter,would,would/communication,2,0.05,9,40
min_front_matter,would,would/mental,1,0.025,10,40
min_front_matter,would,would/copular_nom,1,0.025,11,40
min_participants,can,can/copular_adj,2,0.25,1,8
min_participants,can,can/activity,2,0.25,2,8
min_participants,can,can/communication,1,0.125,3,8
min_participants,can,can/causative,1,0.125,4,8
min_participants,can,can/policy_action,1,0.125,5,8
min_participants,can,can/other,1,0.125,6,8
min_participants,could,could/causative,248,0.2834,1,875
min_participants,could,could/other,148,0.1691,2,875
min_participants,could,could/occurrence,132,0.1509,3,875
min_participants,could,could/activity,114,0.1303,4,875
min_participants,could,could/policy_action,55,0.0629,5,875
min_participants,could,could/copular_adj,52,0.0594,6,875
min_participants,could,could/existence,38,0.0434,7,875
min_participants,could,could/mental,21,0.024,8,875
min_participants,could,could/copular_nom,20,0.0229,9,875
min_participants,could,could/aspectual,20,0.0229,10,875
min_participants,could,could/communication,16,0.0183,11,875
min_participants,could,could/copular_prep,9,0.0103,12,875
min_participants,could,could/copular_adv,2,0.0023,13,875
min_participants,may,may/copular_adj,42,0.2675,1,157
min_participants,may,may/other,23,0.1465,2,157
min_participants,may,may/causative,20,0.1274,3,157
min_participants,may,may/occurrence,19,0.121,4,157
min_participants,may,may/policy_action,13,0.0828,5,157
min_participants,may,may/existence,9,0.0573,6,157
min_participants,may,may/copular_nom,7,0.0446,7,157
min_participants,may,may/aspectual,7,0.0446,8,157
min_participants,may,may/communication,7,0.0446,9,157
min_participants,may,may/activity,6,0.0382,10,157
min_participants,may,may/copular_prep,3,0.0191,11,157
min_participants,may,may/mental,1,0.0064,12,157
min_participants,should,should/other,31,0.2081,1,149
min_participants,should,should/aspectual,20,0.1342,2,149
min_participants,should,should/occurrence,18,0.1208,3,149
min_participants,should,should/activity,16,0.1074,4,149
min_participants,should,should/policy_action,16,0.1074,5,149
min_participants,should,should/mental,15,0.1007,6,149
min_participants,should,should/communication,10,0.0671,7,149
min_participants,should,should/copular_nom,9,0.0604,8,149
min_participants,should,should/copular_adj,6,0.0403,9,149
min_participants,should,should/causative,5,0.0336,10,149
min_participants,should,should/existence,3,0.0201,11,149
min_participants,will,will/existence,5,0.1667,1,30
min_participants,will,will/other,5,0.1667,2,30
min_participants,will,will/occurrence,5,0.1667,3,30
min_participants,will,will/copular_adj,4,0.1333,4,30
min_participants,will,will/causative,4,0.1333,5,30
min_participants,will,will/activity,3,0.1,6,30
min_participants,will,will/policy_action,2,0.0667,7,30
min_participants,will,will/copular_nom,1,0.0333,8,30
min_participants,will,will/communication,1,0.0333,9,30
min_participants,would,would/copular_adj,321,0.2088,1,1537
min_participants,would,would/other,213,0.1386,2,1537
min_participants,would,would/occurrence,187,0.1217,3,1537
min_participants,would,would/activity,158,0.1028,4,1537
min_participants,would,would/causative,155,0.1008,5,1537
min_participants,would,would/policy_action,152,0.0989,6,1537
min_participants,would,would/aspectual,120,0.0781,7,1537
min_participants,would,would/existence,93,0.0605,8,1537
min_participants,would,would/mental,75,0.0488,9,1537
min_participants,would,would/copular_nom,31,0.0202,10,1537
min_participants,would,would/communication,21,0.0137,11,1537
min_participants,would,would/copular_prep,11,0.0072,12,1537
min_special,can,can/other,5,0.2381,1,21
min_special,can,can/occurrence,4,0.1905,2,21
min_special,can,can/policy_action,4,0.1905,3,21
min_special,can,can/causative,3,0.1429,4,21
min_special,can,can/copular_adj,2,0.0952,5,21
min_special,can,can/activity,2,0.0952,6,21
min_special,can,can/existence,1,0.0476,7,21
min_special,could,could/other,68,0.2403,1,283
min_special,could,could/activity,51,0.1802,2,283
min_special,could,could/causative,40,0.1413,3,283
min_special,could,could/policy_action,39,0.1378,4,283
min_special,could,could/occurrence,23,0.0813,5,283
min_special,could,could/copular_adj,23,0.0813,6,283
min_special,could,could/mental,11,0.0389,7,283
min_special,could,could/existence,9,0.0318,8,283
min_special,could,could/aspectual,7,0.0247,9,283
min_special,could,could/communication,7,0.0247,10,283
min_special,could,could/copular_nom,5,0.0177,11,283
min_special,may,may/causative,7,0.25,1,28
min_special,may,may/policy_action,6,0.2143,2,28
min_special,may,may/copular_adj,5,0.1786,3,28
min_special,may,may/copular_nom,3,0.1071,4,28
min_special,may,may/activity,3,0.1071,5,28
min_special,may,may/copular_prep,2,0.0714,6,28
min_special,may,may/other,2,0.0714,7,28
min_special,should,should/other,18,0.3103,1,58
min_special,should,should/policy_action,9,0.1552,2,58
min_special,should,should/copular_nom,7,0.1207,3,58
min_special,should,should/aspectual,6,0.1034,4,58
min_special,should,should/activity,5,0.0862,5,58
min_special,should,should/existence,4,0.069,6,58
min_special,should,should/occurrence,3,0.0517,7,58
min_special,should,should/copular_adj,3,0.0517,8,58
min_special,should,should/communication,1,0.0172,9,58
min_special,should,should/causative,1,0.0172,10,58
min_special,should,should/mental,1,0.0172,11,58
min_special,will,will/policy_action,9,0.1837,1,49
min_special,will,will/other,9,0.1837,2,49
min_special,will,will/existence,8,0.1633,3,49
min_special,will,will/aspectual,6,0.1224,4,49
min_special,will,will/activity,4,0.0816,5,49
min_special,will,will/occurrence,4,0.0816,6,49
min_special,will,will/mental,3,0.0612,7,49
min_special,will,will/copular_nom,2,0.0408,8,49
min_special,will,will/copular_adj,2,0.0408,9,49
min_special,will,will/causative,1,0.0204,10,49
min_special,will,will/copular_prep,1,0.0204,11,49
min_special,would,would/copular_adj,90,0.2616,1,344
min_special,would,would/other,62,0.1802,2,344
min_special,would,would/activity,40,0.1163,3,344
min_special,would,would/policy_action,33,0.0959,4,344
min_special,would,would/causative,29,0.0843,5,344
min_special,would,would/existence,23,0.0669,6,344
min_special,would,would/aspectual,21,0.061,7,344
min_special,would,would/communication,15,0.0436,8,344
min_special,would,would/copular_nom,11,0.032,9,344
min_special,would,would/occurrence,11,0.032,10,344
min_special,would,would/mental,8,0.0233,11,344
min_special,would,would/copular_prep,1,0.0029,12,344
min_staff,can,can/copular_adj,1,0.5,1,2
min_staff,can,can/other,1,0.5,2,2
min_staff,could,could/occurrence,43,0.3258,1,132
min_staff,could,could/other,21,0.1591,2,132
min_staff,could,could/causative,18,0.1364,3,132
min_staff,could,could/policy_action,14,0.1061,4,132
min_staff,could,could/mental,9,0.0682,5,132
min_staff,could,could/existence,7,0.053,6,132
min_staff,could,could/activity,7,0.053,7,132
min_staff,could,could/copular_adj,5,0.0379,8,132
min_staff,could,could/aspectual,4,0.0303,9,132
min_staff,could,could/communication,2,0.0152,10,132
min_staff,could,could/copular_nom,2,0.0152,11,132
min_staff,may,may/occurrence,24,0.4211,1,57
min_staff,may,may/copular_adj,12,0.2105,2,57
min_staff,may,may/other,8,0.1404,3,57
min_staff,may,may/causative,7,0.1228,4,57
min_staff,may,may/existence,3,0.0526,5,57
min_staff,may,may/activity,2,0.0351,6,57
min_staff,may,may/policy_action,1,0.0175,7,57
min_staff,should,should/other,2,0.4,1,5
min_staff,should,should/mental,1,0.2,2,5
min_staff,should,should/aspectual,1,0.2,3,5
min_staff,should,should/occurrence,1,0.2,4,5
min_staff,will,will/other,6,0.375,1,16
min_staff,will,will/policy_action,3,0.1875,2,16
min_staff,will,will/causative,2,0.125,3,16
min_staff,will,will/aspectual,2,0.125,4,16
min_staff,will,will/existence,2,0.125,5,16
min_staff,will,will/communication,1,0.0625,6,16
min_staff,would,would/occurrence,103,0.315,1,327
min_staff,would,would/policy_action,58,0.1774,2,327
min_staff,would,would/other,42,0.1284,3,327
min_staff,would,would/copular_adj,41,0.1254,4,327
min_staff,would,would/activity,23,0.0703,5,327
min_staff,would,would/causative,22,0.0673,6,327
min_staff,would,would/aspectual,12,0.0367,7,327
min_staff,would,would/copular_prep,9,0.0275,8,327
min_staff,would,would/copular_nom,7,0.0214,9,327
min_staff,would,would/existence,6,0.0183,10,327
min_staff,would,would/communication,4,0.0122,11,327
min_staff_desk,can,can/policy_action,2,0.4,1,5
min_staff_desk,can,can/other,2,0.4,2,5
min_staff_desk,can,can/occurrence,1,0.2,3,5
min_staff_desk,could,could/occurrence,25,0.1812,1,138
min_staff_desk,could,could/causative,24,0.1739,2,138
min_staff_desk,could,could/activity,21,0.1522,3,138
min_staff_desk,could,could/other,17,0.1232,4,138
min_staff_desk,could,could/policy_action,15,0.1087,5,138
min_staff_desk,could,could/mental,11,0.0797,6,138
min_staff_desk,could,could/aspectual,9,0.0652,7,138
min_staff_desk,could,could/copular_adj,6,0.0435,8,138
min_staff_desk,could,could/existence,5,0.0362,9,138
min_staff_desk,could,could/communication,2,0.0145,10,138
min_staff_desk,could,could/copular_nom,2,0.0145,11,138
min_staff_desk,could,could/copular_prep,1,0.0072,12,138
min_staff_desk,may,may/occurrence,10,0.2439,1,41
min_staff_desk,may,may/causative,10,0.2439,2,41
min_staff_desk,may,may/other,6,0.1463,3,41
min_staff_desk,may,may/copular_adj,5,0.122,4,41
min_staff_desk,may,may/activity,4,0.0976,5,41
min_staff_desk,may,may/copular_prep,3,0.0732,6,41
min_staff_desk,may,may/policy_action,2,0.0488,7,41
min_staff_desk,may,may/mental,1,0.0244,8,41
min_staff_desk,should,should/other,10,0.3704,1,27
min_staff_desk,should,should/policy_action,3,0.1111,2,27
min_staff_desk,should,should/occurrence,3,0.1111,3,27
min_staff_desk,should,should/causative,3,0.1111,4,27
min_staff_desk,should,should/activity,2,0.0741,5,27
min_staff_desk,should,should/aspectual,2,0.0741,6,27
min_staff_desk,should,should/mental,2,0.0741,7,27
min_staff_desk,should,should/existence,1,0.037,8,27
min_staff_desk,should,should/copular_adj,1,0.037,9,27
min_staff_desk,will,will/other,9,0.2571,1,35
min_staff_desk,will,will/policy_action,5,0.1429,2,35
min_staff_desk,will,will/aspectual,5,0.1429,3,35
min_staff_desk,will,will/occurrence,5,0.1429,4,35
min_staff_desk,will,will/causative,2,0.0571,5,35
min_staff_desk,will,will/existence,2,0.0571,6,35
min_staff_desk,will,will/copular_adj,2,0.0571,7,35
min_staff_desk,will,will/activity,2,0.0571,8,35
min_staff_desk,will,will/copular_nom,1,0.0286,9,35
min_staff_desk,will,will/copular_prep,1,0.0286,10,35
min_staff_desk,will,will/communication,1,0.0286,11,35
min_staff_desk,would,would/other,62,0.202,1,307
min_staff_desk,would,would/policy_action,46,0.1498,2,307
min_staff_desk,would,would/copular_adj,39,0.127,3,307
min_staff_desk,would,would/aspectual,37,0.1205,4,307
min_staff_desk,would,would/occurrence,36,0.1173,5,307
min_staff_desk,would,would/activity,31,0.101,6,307
min_staff_desk,would,would/existence,14,0.0456,7,307
min_staff_desk,would,would/communication,12,0.0391,8,307
min_staff_desk,would,would/copular_nom,10,0.0326,9,307
min_staff_desk,would,would/mental,10,0.0326,10,307
min_staff_desk,would,would/causative,9,0.0293,11,307
min_staff_desk,would,would/copular_prep,1,0.0033,12,307
min_statement_quote,can,can/copular_adj,2,1.0,1,2
min_statement_quote,could,could/causative,50,1.0,1,50
min_statement_quote,may,may/causative,16,0.6154,1,26
min_statement_quote,may,may/copular_adj,10,0.3846,2,26
min_statement_quote,should,should/activity,21,0.6364,1,33
min_statement_quote,should,should/policy_action,6,0.1818,2,33
min_statement_quote,should,should/causative,6,0.1818,3,33
min_statement_quote,will,will/activity,131,0.218,1,601
min_statement_quote,will,will/aspectual,123,0.2047,2,601
min_statement_quote,will,will/mental,104,0.173,3,601
min_statement_quote,will,will/policy_action,57,0.0948,4,601
min_statement_quote,will,will/copular_adj,51,0.0849,5,601
min_statement_quote,will,will/occurrence,47,0.0782,6,601
min_statement_quote,will,will/causative,38,0.0632,7,601
min_statement_quote,will,will/existence,28,0.0466,8,601
min_statement_quote,will,will/communication,12,0.02,9,601
min_statement_quote,will,will/other,10,0.0166,10,601
min_statement_quote,would,would/copular_adj,46,0.9388,1,49
min_statement_quote,would,would/aspectual,2,0.0408,2,49
min_statement_quote,would,would/policy_action,1,0.0204,3,49
min_vote,can,can/policy_action,1,1.0,1,1
min_vote,could,could/causative,6,0.4615,1,13
min_vote,could,could/other,3,0.2308,2,13
min_vote,could,could/occurrence,2,0.1538,3,13
min_vote,could,could/copular_adj,1,0.0769,4,13
min_vote,could,could/mental,1,0.0769,5,13
min_vote,may,may/occurrence,1,1.0,1,1
min_vote,should,should/other,7,0.4375,1,16
min_vote,should,should/activity,4,0.25,2,16
min_vote,should,should/copular_adj,2,0.125,3,16
min_vote,should,should/aspectual,1,0.0625,4,16
min_vote,should,should/communication,1,0.0625,5,16
min_vote,should,should/existence,1,0.0625,6,16
min_vote,will,will/copular_adj,4,0.25,1,16
min_vote,will,will/activity,3,0.1875,2,16
min_vote,will,will/other,3,0.1875,3,16
min_vote,will,will/existence,2,0.125,4,16
min_vote,will,will/causative,1,0.0625,5,16
min_vote,will,will/occurrence,1,0.0625,6,16
min_vote,will,will/policy_action,1,0.0625,7,16
min_vote,will,will/aspectual,1,0.0625,8,16
min_vote,would,would/policy_action,97,0.8151,1,119
min_vote,would,would/activity,8,0.0672,2,119
min_vote,would,would/copular_adj,5,0.042,3,119
min_vote,would,would/causative,2,0.0168,4,119
min_vote,would,would/occurrence,2,0.0168,5,119
min_vote,would,would/mental,1,0.0084,6,119
min_vote,would,would/existence,1,0.0084,7,119
min_vote,would,would/aspectual,1,0.0084,8,119
min_vote,would,would/communication,1,0.0084,9,119
min_vote,would,would/other,1,0.0084,10,119
pc_chair,can,can/activity,428,0.2658,1,1610
pc_chair,can,can/other,351,0.218,2,1610
pc_chair,can,can/mental,237,0.1472,3,1610
pc_chair,can,can/communication,155,0.0963,4,1610
pc_chair,can,can/policy_action,104,0.0646,5,1610
pc_chair,can,can/existence,75,0.0466,6,1610
pc_chair,can,can/occurrence,63,0.0391,7,1610
pc_chair,can,can/causative,61,0.0379,8,1610
pc_chair,can,can/copular_adj,50,0.0311,9,1610
pc_chair,can,can/copular_nom,46,0.0286,10,1610
pc_chair,can,can/aspectual,32,0.0199,11,1610
pc_chair,can,can/copular_prep,7,0.0043,12,1610
pc_chair,can,can/copular_adv,1,0.0006,13,1610
pc_chair,could,could/activity,110,0.1757,1,626
pc_chair,could,could/causative,88,0.1406,2,626
pc_chair,could,could/other,81,0.1294,3,626
pc_chair,could,could/existence,71,0.1134,4,626
pc_chair,could,could/copular_nom,54,0.0863,5,626
pc_chair,could,could/occurrence,51,0.0815,6,626
pc_chair,could,could/copular_adj,51,0.0815,7,626
pc_chair,could,could/mental,43,0.0687,8,626
pc_chair,could,could/communication,27,0.0431,9,626
pc_chair,could,could/policy_action,23,0.0367,10,626
pc_chair,could,could/copular_prep,17,0.0272,11,626
pc_chair,could,could/aspectual,9,0.0144,12,626
pc_chair,could,could/copular_adv,1,0.0016,13,626
pc_chair,may,may/copular_nom,70,0.1443,1,485
pc_chair,may,may/other,69,0.1423,2,485
pc_chair,may,may/existence,68,0.1402,3,485
pc_chair,may,may/activity,65,0.134,4,485
pc_chair,may,may/copular_adj,61,0.1258,5,485
pc_chair,may,may/occurrence,39,0.0804,6,485
pc_chair,may,may/causative,26,0.0536,7,485
pc_chair,may,may/copular_prep,26,0.0536,8,485
pc_chair,may,may/mental,22,0.0454,9,485
pc_chair,may,may/policy_action,15,0.0309,10,485
pc_chair,may,may/aspectual,14,0.0289,11,485
pc_chair,may,may/communication,8,0.0165,12,485
pc_chair,may,may/copular_adv,2,0.0041,13,485
pc_chair,should,should/activity,114,0.2294,1,497
pc_chair,should,should/mental,72,0.1449,2,497
pc_chair,should,should/other,68,0.1368,3,497
pc_chair,should,should/copular_nom,43,0.0865,4,497
pc_chair,should,should/existence,36,0.0724,5,497
pc_chair,should,should/copular_adj,33,0.0664,6,497
pc_chair,should,should/policy_action,33,0.0664,7,497
pc_chair,should,should/occurrence,28,0.0563,8,497
pc_chair,should,should/communication,21,0.0423,9,497
pc_chair,should,should/aspectual,18,0.0362,10,497
pc_chair,should,should/causative,15,0.0302,11,497
pc_chair,should,should/copular_prep,14,0.0282,12,497
pc_chair,should,should/copular_adv,2,0.004,13,497
pc_chair,will,will/activity,845,0.1947,1,4341
pc_chair,will,will/mental,589,0.1357,2,4341
pc_chair,will,will/other,431,0.0993,3,4341
pc_chair,will,will/existence,430,0.0991,4,4341
pc_chair,will,will/copular_adj,400,0.0921,5,4341
pc_chair,will,will/aspectual,336,0.0774,6,4341
pc_chair,will,will/policy_action,297,0.0684,7,4341
pc_chair,will,will/copular_nom,287,0.0661,8,4341
pc_chair,will,will/occurrence,275,0.0633,9,4341
pc_chair,will,will/communication,267,0.0615,10,4341
pc_chair,will,will/causative,105,0.0242,11,4341
pc_chair,will,will/copular_prep,60,0.0138,12,4341
pc_chair,will,will/copular_adv,19,0.0044,13,4341
pc_chair,would,would/communication,846,0.2705,1,3127
pc_chair,would,would/mental,475,0.1519,2,3127
pc_chair,would,would/other,388,0.1241,3,3127
pc_chair,would,would/activity,344,0.11,4,3127
pc_chair,would,would/copular_adj,270,0.0863,5,3127
pc_chair,would,would/existence,251,0.0803,6,3127
pc_chair,would,would/copular_nom,219,0.07,7,3127
pc_chair,would,would/policy_action,91,0.0291,8,3127
pc_chair,would,would/causative,89,0.0285,9,3127
pc_chair,would,would/aspectual,53,0.0169,10,3127
pc_chair,would,would/occurrence,50,0.016,11,3127
pc_chair,would,would/copular_prep,44,0.0141,12,3127
pc_chair,would,would/copular_adv,7,0.0022,13,3127
pc_journalist,can,can/activity,105,0.2763,1,380
pc_journalist,can,can/other,105,0.2763,2,380
pc_journalist,can,can/communication,103,0.2711,3,380
pc_journalist,can,can/mental,18,0.0474,4,380
pc_journalist,can,can/policy_action,18,0.0474,5,380
pc_journalist,can,can/aspectual,9,0.0237,6,380
pc_journalist,can,can/existence,8,0.0211,7,380
pc_journalist,can,can/occurrence,6,0.0158,8,380
pc_journalist,can,can/copular_adj,5,0.0132,9,380
pc_journalist,can,can/copular_nom,2,0.0053,10,380
pc_journalist,can,can/causative,1,0.0026,11,380
pc_journalist,could,could/other,175,0.2986,1,586
pc_journalist,could,could/communication,134,0.2287,2,586
pc_journalist,could,could/activity,103,0.1758,3,586
pc_journalist,could,could/causative,36,0.0614,4,586
pc_journalist,could,could/copular_nom,28,0.0478,5,586
pc_journalist,could,could/policy_action,24,0.041,6,586
pc_journalist,could,could/mental,21,0.0358,7,586
pc_journalist,could,could/occurrence,20,0.0341,8,586
pc_journalist,could,could/existence,19,0.0324,9,586
pc_journalist,could,could/copular_adj,12,0.0205,10,586
pc_journalist,could,could/copular_prep,9,0.0154,11,586
pc_journalist,could,could/aspectual,5,0.0085,12,586
pc_journalist,may,may/other,29,0.3021,1,96
pc_journalist,may,may/activity,13,0.1354,2,96
pc_journalist,may,may/copular_adj,12,0.125,3,96
pc_journalist,may,may/mental,8,0.0833,4,96
pc_journalist,may,may/existence,7,0.0729,5,96
pc_journalist,may,may/occurrence,7,0.0729,6,96
pc_journalist,may,may/copular_nom,6,0.0625,7,96
pc_journalist,may,may/causative,5,0.0521,8,96
pc_journalist,may,may/communication,4,0.0417,9,96
pc_journalist,may,may/copular_prep,3,0.0312,10,96
pc_journalist,may,may/aspectual,1,0.0104,11,96
pc_journalist,may,may/policy_action,1,0.0104,12,96
pc_journalist,should,should/mental,65,0.3333,1,195
pc_journalist,should,should/activity,28,0.1436,2,195
pc_journalist,should,should/other,28,0.1436,3,195
pc_journalist,should,should/policy_action,12,0.0615,4,195
pc_journalist,should,should/copular_nom,12,0.0615,5,195
pc_journalist,should,should/copular_adj,12,0.0615,6,195
pc_journalist,should,should/existence,11,0.0564,7,195
pc_journalist,should,should/occurrence,9,0.0462,8,195
pc_journalist,should,should/communication,5,0.0256,9,195
pc_journalist,should,should/causative,5,0.0256,10,195
pc_journalist,should,should/aspectual,4,0.0205,11,195
pc_journalist,should,should/copular_prep,3,0.0154,12,195
pc_journalist,should,should/copular_adv,1,0.0051,13,195
pc_journalist,will,will/activity,100,0.2433,1,411
pc_journalist,will,will/other,75,0.1825,2,411
pc_journalist,will,will/existence,40,0.0973,3,411
pc_journalist,will,will/mental,38,0.0925,4,411
pc_journalist,will,will/copular_nom,33,0.0803,5,411
pc_journalist,will,will/copular_adj,29,0.0706,6,411
pc_journalist,will,will/occurrence,20,0.0487,7,411
pc_journalist,will,will/aspectual,20,0.0487,8,411
pc_journalist,will,will/communication,17,0.0414,9,411
pc_journalist,will,will/causative,15,0.0365,10,411
pc_journalist,will,will/policy_action,14,0.0341,11,411
pc_journalist,will,will/copular_prep,9,0.0219,12,411
pc_journalist,will,will/copular_adv,1,0.0024,13,411
pc_journalist,would,would/other,172,0.2194,1,784
pc_journalist,would,would/mental,111,0.1416,2,784
pc_journalist,would,would/activity,92,0.1173,3,784
pc_journalist,would,would/copular_adj,80,0.102,4,784
pc_journalist,would,would/communication,79,0.1008,5,784
pc_journalist,would,would/existence,62,0.0791,6,784
pc_journalist,would,would/copular_nom,59,0.0753,7,784
pc_journalist,would,would/causative,49,0.0625,8,784
pc_journalist,would,would/occurrence,27,0.0344,9,784
pc_journalist,would,would/policy_action,27,0.0344,10,784
pc_journalist,would,would/aspectual,13,0.0166,11,784
pc_journalist,would,would/copular_prep,12,0.0153,12,784
pc_journalist,would,would/copular_adv,1,0.0013,13,784
pc_moderator,can,can/communication,1,0.5,1,2
pc_moderator,can,can/other,1,0.5,2,2
pc_moderator,may,may/existence,1,1.0,1,1
pc_moderator,will,will/activity,79,0.9875,1,80
pc_moderator,will,will/copular_adj,1,0.0125,2,80
speech_chair,can,can/other,155,0.3016,1,514
