period,modal,head_verb,n,share,genre
2014-2019,should,see,9,0.012228260869565218,all
2014-2019,should,consider,8,0.010869565217391304,all
2014-2019,should,reduce,8,0.010869565217391304,all
2014-2019,should,communicate,7,0.009510869565217392,all
2014-2019,should,emphasize,7,0.009510869565217392,all
2014-2019,will,be,434,0.14413816007970773,all
2014-2019,will,continue,204,0.06775157754898704,all
2014-2019,will,take,167,0.05546330122882763,all
2014-2019,will,assess,104,0.034540019926934576,all
2014-2019,will,have,85,0.028229823978744604,all
2014-2019,will,depend,83,0.027565592826303553,all
2014-2019,will,move,83,0.027565592826303553,all
2014-2019,will,monitor,77,0.025572899368980405,all
2014-2019,will,expand,76,0.02524078379275988,all
2014-2019,will,evolve,66,0.021919628030554632,all
2014-2019,will,warrant,63,0.020923281301893058,all
2014-2019,will,remain,56,0.018598472268349386,all
2014-2019,will,look,53,0.01760212553968781,all
2014-2019,will,discuss,45,0.014945200929923613,all
2014-2019,will,need,43,0.014280969777482564,all
2014-2019,would,be,747,0.2044894607172187,all
2014-2019,would,say,163,0.044620859567478785,all
2014-2019,would,like,144,0.03941965507801807,all
2014-2019,would,continue,99,0.027101012866137423,all
2014-2019,would,remain,93,0.025458527237886667,all
2014-2019,would,take,84,0.02299479879551054,all
2014-2019,would,expand,82,0.022447303586093623,all
2014-2019,would,expect,82,0.022447303586093623,all
2014-2019,would,depend,75,0.02053107035313441,all
2014-2019,would,need,66,0.018067341910758282,all
2014-2019,would,have,65,0.017793594306049824,all
2014-2019,would,move,59,0.016151108677799068,all
2014-2019,would,rise,56,0.015329865863673693,all
2014-2019,would,hold,52,0.014234875444839857,all
2014-2019,would,increase,47,0.012866137421297564,all
2020-2026,can,do,155,0.08995937318630295,all
2020-2026,can,be,104,0.06035983749274521,all
2020-2026,can,say,70,0.04062681369704005,all
2020-2026,can,see,67,0.038885664538595474,all
2020-2026,can,everything,58,0.03366221706326175,all
2020-2026,can,have,50,0.02901915264074289,all
2020-2026,can,look,48,0.027858386535113175,all
2020-2026,can,give,43,0.024956471271038887,all
2020-2026,can,increase,42,0.024376088218224026,all
2020-2026,can,tell,39,0.022634939059779455,all
2020-2026,can,make,35,0.020313406848520024,all
2020-2026,can,get,30,0.017411491584445733,all
2020-2026,can,think,30,0.017411491584445733,all
2020-2026,can,take,29,0.016831108531630876,all
2020-2026,can,affect,28,0.01625072547881602,all
2020-2026,could,be,202,0.11470755252697332,all
2020-2026,could,impede,156,0.08858603066439523,all
2020-2026,could,follow,65,0.03691084611016468,all
2020-2026,could,have,40,0.022714366837024418,all
2020-2026,could,talk,39,0.022146507666098807,all
2020-2026,could,help,37,0.021010789324247586,all
2020-2026,could,lead,35,0.019875070982396367,all
2020-2026,could,see,35,0.019875070982396367,all
2020-2026,could,affect,29,0.016467915956842702,all
2020-2026,could,result,27,0.015332197614991482,all
2020-2026,could,give,25,0.014196479273140262,all
2020-2026,could,come,24,0.013628620102214651,all
2020-2026,could,bear,23,0.01306076093128904,all
2020-2026,could,do,23,0.01306076093128904,all
2020-2026,could,support,22,0.01249290176036343,all
2020-2026,may,be,239,0.34839650145772594,all
2020-2026,may,take,25,0.03644314868804665,all
2020-2026,may,have,23,0.033527696793002916,all
2020-2026,may,need,20,0.029154518950437316,all
2020-2026,may,use,17,0.02478134110787172,all
2020-2026,may,come,12,0.01749271137026239,all
2020-2026,may,see,11,0.016034985422740525,all
2020-2026,may,contribute,9,0.013119533527696793,all
2020-2026,may,warrant,9,0.013119533527696793,all
2020-2026,may,provide,8,0.011661807580174927,all
2020-2026,may,happen,7,0.01020408163265306,all
2020-2026,may,authorize,6,0.008746355685131196,all
2020-2026,may,continue,6,0.008746355685131196,all
2020-2026,may,face,6,0.008746355685131196,all
2020-2026,may,affect,5,0.007288629737609329,all
2020-2026,should,be,114,0.18536585365853658,all
2020-2026,should,do,23,0.03739837398373984,all
2020-2026,should,take,18,0.02926829268292683,all
2020-2026,should,see,17,0.027642276422764227,all
2020-2026,should,affirm,14,0.022764227642276424,all
2020-2026,should,continue,14,0.022764227642276424,all
2020-2026,should,help,14,0.022764227642276424,all
2020-2026,should,expect,13,0.02113821138211382,all
2020-2026,should,interpret,13,0.02113821138211382,all
2020-2026,should,move,11,0.01788617886178862,all
2020-2026,should,think,11,0.01788617886178862,all
2020-2026,should,assume,9,0.014634146341463415,all
2020-2026,should,happen,9,0.014634146341463415,all
2020-2026,should,have,9,0.014634146341463415,all
2020-2026,should,direct,8,0.013008130081300813,all
2020-2026,will,be,795,0.17484055421156808,all
2020-2026,will,continue,404,0.08884979107103584,all
2020-2026,will,take,278,0.06113921266769298,all
2020-2026,will,have,184,0.04046624147789751,all
2020-2026,will,do,156,0.03430833516604354,all
2020-2026,will,see,149,0.032768858588080055,all
2020-2026,will,go,134,0.029469980206729713,all
2020-2026,will,say,108,0.023751924345722455,all
2020-2026,will,look,100,0.021992522542335607,all
2020-2026,will,come,80,0.017594018033868484,all
2020-2026,will,make,76,0.016714317132175062,all
2020-2026,will,depend,68,0.014954915328788213,all
2020-2026,will,assess,67,0.014734990103364856,all
2020-2026,will,get,58,0.012755663074554651,all
2020-2026,will,need,54,0.011875962172861227,all
2020-2026,would,be,1038,0.22969683558309362,all
2020-2026,would,say,531,0.11750387253817217,all
2020-2026,would,continue,179,0.03961053330382828,all
2020-2026,would,take,130,0.02876742642177473,all
2020-2026,would,have,97,0.02146492586855499,all
2020-2026,would,like,91,0.02013719849524231,all
2020-2026,would,look,87,0.01925204691303386,all
2020-2026,would,expect,82,0.01814560743527329,all
2020-2026,would,want,80,0.017703031644169063,all
2020-2026,would,need,78,0.01726045585306484,all
2020-2026,would,help,74,0.016375304270856383,all
2020-2026,would,depend,65,0.014383713210887364,all
2020-2026,would,hold,64,0.014162425315335252,all
2020-2026,would,think,56,0.012392122150918344,all
2020-2026,would,do,43,0.009515379508740872,all
2014-2019,can,be,2,1.0,statement
2014-2019,could,pose,4,1.0,statement
2014-2019,may,warrant,14,0.7777777777777778,statement
2014-2019,may,be,3,0.16666666666666666,statement
2014-2019,may,restrain,1,0.05555555555555555,statement
2014-2019,should,help,21,0.5526315789473685,statement
2014-2019,should,maintain,6,0.15789473684210525,statement
2014-2019,should,promote,6,0.15789473684210525,statement
2014-2019,should,be,1,0.02631578947368421,statement
2014-2019,should,commit,1,0.02631578947368421,statement
2014-2019,should,continue,1,0.02631578947368421,statement
2014-2019,should,emphasize,1,0.02631578947368421,statement
2014-2019,should,stress,1,0.02631578947368421,statement
2014-2019,will,take,62,0.18075801749271136,statement
2014-2019,will,assess,47,0.13702623906705538,statement
2014-2019,will,expand,34,0.09912536443148688,statement
2014-2019,will,be,27,0.07871720116618076,statement
2014-2019,will,monitor,27,0.07871720116618076,statement
2014-2019,will,warrant,21,0.061224489795918366,statement
2014-2019,will,continue,20,0.05830903790087463,statement
2014-2019,will,depend,20,0.05830903790087463,statement
2014-2019,will,evolve,20,0.05830903790087463,statement
2014-2019,will,add,12,0.03498542274052478,statement
2014-2019,will,strengthen,12,0.03498542274052478,statement
2014-2019,will,remain,11,0.03206997084548105,statement
2014-2019,will,move,10,0.029154518950437316,statement
2014-2019,will,reduce,5,0.014577259475218658,statement
2014-2019,will,act,3,0.008746355685131196,statement
2014-2019,would,reduce,1,1.0,statement
2020-2026,can,find,2,1.0,statement
2020-2026,could,impede,46,1.0,statement
2020-2026,may,be,7,0.7777777777777778,statement
2020-2026,may,find,1,0.1111111111111111,statement
2020-2026,may,warrant,1,0.1111111111111111,statement
2020-2026,will,continue,105,0.3903345724907063,statement
2020-2026,will,take,61,0.22676579925650558,statement
2020-2026,will,be,28,0.10408921933085502,statement
2020-2026,will,assess,25,0.09293680297397769,statement
2020-2026,will,aim,10,0.03717472118959108,statement
2020-2026,will,increase,9,0.03345724907063197,statement
2020-2026,will,depend,8,0.02973977695167286,statement
2020-2026,will,monitor,5,0.01858736059479554,statement
2020-2026,will,use,5,0.01858736059479554,statement
2020-2026,will,weigh,4,0.01486988847583643,statement
2020-2026,will,maintain,2,0.007434944237918215,statement
2020-2026,will,reinvest,2,0.007434944237918215,statement
2020-2026,will,slow,2,0.007434944237918215,statement
2020-2026,will,help,1,0.0037174721189591076,statement
2020-2026,will,include,1,0.0037174721189591076,statement
2020-2026,would,be,46,0.9583333333333334,statement
2020-2026,would,continue,2,0.041666666666666664,statement
