n,phrase,count
3,would continue to,242
3,that would be,242
3,we ’ll be,240
3,will take into,239
3,will be appropriate,237
3,that inflation would,205
3,it will be,201
3,i would n,175
3,would be prepared,165
3,could impede the,164
3,that could impede,163
3,funds rate would,162
3,wo n t,153
3,that it will,152
3,funds rate will,145
3,and i would,142
3,that inflation will,138
3,and we ’ll,137
3,would be held,136
3,if you could,134
3,that they would,130
3,would say that,130
3,that will be,127
3,we will be,127
3,would like to,125
3,so i would,125
3,and we will,124
3,that we will,123
3,would likely be,117
3,that we can,117
3,would need to,115
3,will depend on,113
3,if i could,113
3,we will continue,113
3,it will take,112
3,committee will assess,111
3,that we would,111
3,but i would,108
3,would be a,107
3,could lead to,105
3,this assessment will,105
3,assessment will take,105
3,emerge that could,105
3,would depend on,105
3,we can do,102
3,assessments will take,100
3,i ca n,100
3,i would just,99
3,that we ’ll,98
3,’d like to,97
3,we can to,97
3,you can see,95
3,the economy will,92
3,'s assessments will,92
3,that may be,91
3,monetary policy will,89
3,rate will be,89
3,would take into,89
3,that could be,87
3,committee will carefully,86
3,we ’ll go,85
3,it ’s it,85
3,would be expected,84
3,i would like,84
3,the committee should,83
3,will be a,81
3,’s it s,81
3,inflation will move,80
3,it may be,80
3,we ca n,80
3,’ll go to,80
3,may be appropriate,79
3,they would be,79
3,would expand at,79
3,economic activity will,77
3,monetary policy would,77
3,will assess realized,76
3,’ll be looking,76
3,will expand at,75
3,would not be,75
3,would just say,75
3,it could be,74
3,economic activity would,74
3,we ’ll have,72
3,should help maintain,71
3,activity will expand,70
3,the economy would,70
3,the committee could,70
3,it might be,70
3,will take a,69
3,would have been,69
3,there will be,68
3,could affect the,67
3,the fed will,67
3,rate would be,66
3,may not be,65
3,will need to,65
3,they would continue,64
3,will move back,63
3,levels should help,63
3,sizable levels should,62
3,each variable would,62
3,that might be,62
3,i ’d like,61
3,there may be,60
3,that could affect,59
3,inflation would be,59
3,could result in,59
3,federal reserve will,58
3,would be consistent,58
3,will closely monitor,57
3,variable would be,57
3,i could follow,57
3,economic conditions may,56
3,would be the,56
3,real gdp would,56
3,will have to,56
3,could follow up,56
3,i will discuss,56
3,will continue reducing,55
3,everything we can,55
3,would be important,54
3,you ’ll see,54
3,so we ’ll,54
3,conditions that will,53
3,committee will closely,52
3,conditions may for,52
3,economic conditions will,52
3,will keep the,52
3,may for some,51
3,would be more,51
3,today i will,51
3,would result in,50
3,that it could,50
3,will be the,50
3,rate would depend,50
3,will carefully assess,49
3,the committee might,49
3,and i ’ll,49
4,the committee will continue,271
4,the committee would be,258
4,that it would be,251
4,will take into account,236
4,it would be appropriate,190
4,committee will continue to,182
4,i would n t,175
4,would be prepared to,164
4,that could impede the,162
4,could impede the attainment,160
4,will continue to monitor,155
4,federal funds rate would,152
4,would be appropriate to,152
4,federal funds rate will,136
4,will be appropriate to,131
4,of the committee would,131
4,committee would be held,131
4,would be held on,131
4,the committee will assess,111
4,i would say that,110
4,it will be appropriate,108
4,assessment will take into,105
4,committee would be prepared,105
4,risks emerge that could,105
4,emerge that could impede,105
4,this assessment will take,104
4,we will continue to,103
4,assessments will take into,100
4,i ca n t,100
4,that the committee would,99
4,committee 's assessments will,92
4,'s assessments will take,92
4,would take into account,88
4,the committee will carefully,86
4,i would like to,82
4,it ’s it s,81
4,we ca n t,80
4,we ’ll go to,80
4,committee will assess realized,76
4,will assess realized and,76
4,would expand at a,76
4,would be expected to,75
4,i would just say,75
4,funds rate will be,74
4,will expand at a,72
4,we ’ll be looking,72
4,economic activity will expand,70
4,activity will expand at,70
4,should help maintain accommodative,70
4,that it will be,67
4,will depend on the,66
4,that the committee should,65
4,that inflation will move,65
4,would continue to monitor,63
4,sizable levels should help,62
4,levels should help maintain,62
4,which each variable would,62
4,inflation will move back,61
4,agreed that it would,60
4,the federal reserve will,57
4,each variable would be,57
4,variable would be expected,57
4,i ’d like to,57
4,if i could follow,57
4,it will take a,56
4,and i would say,56
4,they would continue to,55
4,that could affect the,55
4,i could follow up,55
4,committee will continue reducing,54
4,will continue reducing its,54
4,would n t want,54
4,would n t say,54
4,everything we can to,54
4,may be appropriate to,53
4,the committee will closely,52
4,committee will closely monitor,52
4,economic conditions may for,52
4,conditions may for some,51
4,will take a balanced,50
4,would be consistent with,50
4,rate would depend on,49
4,accommodation it will take,48
4,that economic conditions will,48
4,financial conditions that will,48
4,the secretary will keep,48
4,secretary will keep the,48
4,will keep the committee,48
4,sheet that could affect,48
4,could affect the attainment,48
4,it would be important,48
4,so i would say,48
4,wo n t be,48
4,but i would say,48
4,they would be prepared,47
4,conditions that will foster,47
4,and the secretary will,47
4,balance sheet that could,47
4,economic activity would expand,47
4,activity would expand at,47
4,you ca n t,47
4,conditions will evolve in,46
4,a manner that will,46
4,committee will carefully assess,46
4,funds rate would be,46
4,would depend on the,46
4,the unemployment rate will,45
4,economic conditions will evolve,45
4,manner that will warrant,45
4,rate will depend on,45
4,will carefully assess incoming,45
4,would be appropriate for,45
4,funds rate would depend,45
4,’ll be looking at,45
4,will evolve in a,44
4,funds rate will depend,44
4,judged that it would,44
4,labor market conditions would,44
4,i would say it,44
4,will closely monitor incoming,43
4,rate will be appropriate,43
4,wondering if you could,43
4,we wo n t,43
4,labor market conditions will,42
4,will carefully monitor actual,42
4,we ’ll have to,42
4,would n t be,41
4,committee will carefully monitor,40
4,that real gdp would,40
4,do everything we can,40
4,would likely be appropriate,39
4,of monetary policy will,38
4,that they would be,38
4,would need to be,38
4,would be important to,38
4,limit can be temporarily,38
4,can be temporarily increased,38
4,we ’ll continue to,38
4,as you can see,38
4,will continue its purchases,37
4,that would be a,37
4,anticipated that inflation would,36
4,the unemployment rate would,36
4,of monetary policy would,36
4,risks emerged that could,36
4,emerged that could impede,36
4,we can to achieve,36
4,could pose risks to,35
4,that may be appropriate,35
4,that the committee could,35
