layer,modal,predicate,doc_id,date,kwic
min_participants,can,affect,minutes_20170614,2017-06-14,"… been a more useful predictor of future inflation, al­though it, too, [can] be affected by transitory factors--moved down from 1.8 percent in Mar…"
min_participants,can,implement,minutes_20180613,2018-06-13,"…, before too long, the Committee might want to further discuss how it [can] implement monetary policy most effectively and efficiently when the q…"
min_participants,can,be+volatile,minutes_20181108,2018-11-08,…A couple of others noted that business investment growth [can] be volatile on a quarterly basis and factors such as the recent cuts …
min_participants,should,continue,minutes_20160615,2016-06-15,…ants generally agreed that global economic and financial developments [should] continue to be monitored closely.…
min_participants,should,continue,minutes_20240131,2024-01-31,"…ipants noted that, as a matter of prudent contingency planning, banks [should] continue to improve their readiness to use the Federal Reserve's disc…"
min_participants,should,monitor,minutes_20240501,2024-05-01,"…rapid growth of private credit markets, noting that such developments [should] be monitored because the sector was becoming more interconnected with…"
min_participants,should,monitor,minutes_20200429,2020-04-29,"… the pandemic and economic activity were realized, and so this sector [should] be monitored carefully.…"
min_participants,should,support,minutes_20171101,2017-11-01,… despite the low readings on inflation and judged that this stability [should] support the return of inflation to the Committee's objective.…
min_participants,should,support,minutes_20151028,2015-10-28,"…, and a high level of consumer confidence were viewed as factors that [should] support consumer spending.…"
min_participants,should,take,minutes_20180502,2018-05-02,… a few participants observed that adjustments in the stance of policy [should] take account of the possibility that longer-term inflation expectatio…
min_participants,should,take,minutes_20170920,2017-09-20,"…If so, the appropriate policy path [should] take into account the need to bolster inflation expectations in order…"
min_participants,should,occur,minutes_20230201,2023-02-01,"…They noted, however, that such pressures, [should] they occur, would likely cause an upward re-pricing of private money-…"
min_participants,should,occur,minutes_20190918,2019-09-18,"…Changes in the stance of policy, they believed, [should] instead occur only when the macroeconomic data readily justified thos…"
min_participants,may,be+appropriate,minutes_20230322,2023-03-22,"…ht; as a result, they anticipated that some additional policy firming [may] be appropriate to attain a sufficiently restrictive policy stance to …"
min_participants,may,be+appropriate,minutes_20230503,2023-05-03,"…ditions, the extent to which additional increases in the target range [may] be appropriate after this meeting had become less certain.…"
min_participants,may,contribute,minutes_20251029,2025-10-29,…nvestment related to AI and other productivity-enhancing technologies [may] be contributing to softer labor demand.…
min_participants,may,contribute,minutes_20171101,2017-11-01,"…years, while inflation was below the Committee's 2 percent objective, [may] have contributed to a decline in longer-run inflation expectations be…"
min_participants,may,warrant,minutes_20141029,2014-10-29,…nt indicating that the Committee anticipates that economic conditions [may] warrant keeping the target range for the federal funds rate below lon…
min_participants,may,warrant,minutes_20140430,2014-04-30,"…and inflation are near mandate-consistent levels, economic conditions [may], for some time, warrant keeping the target federal funds rate below l…"
min_participants,may,need,minutes_20200429,2020-04-29,…Several participants also remarked that the Committee [may] need to provide further clarity regarding its intentions for purchase…
min_participants,may,need,minutes_20160615,2016-06-15,…measures of inflation expectations and suggested that monetary policy [may] need to remain accommodative for some time in order to move inflation…
min_participants,may,become,minutes_20200429,2020-04-29,…rkers who lose employment could face a loss of job-specific skills or [may] become discouraged and exit the labor force.…
min_participants,may,become,minutes_20180502,2018-05-02,"…e of investment strategies predicated on a low-volatility environment [may] have become less prevalent, and that some investors may have become m…"
